State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
Texas,MCLENNAN,West Police Department,TX1551300,West South Central,South,Region III,City,TRUE,2018-06-01T00:00:00.000Z,31.549493,-97.201472
Texas,MCLENNAN,Woodway Police Department,TX1551400,West South Central,South,Region III,City,TRUE,1998-01-01T00:00:00.000Z,31.506077,-97.22793
Texas,MCLENNAN,McLennan Community College,TX1551600,West South Central,South,Region III,University or College,TRUE,2017-07-01T00:00:00.000Z,31.591955,-97.17414
Texas,MCLENNAN,Riesel Police Department,TX1551700,West South Central,South,Region III,City,FALSE,,31.549493,-97.201472
Texas,MCLENNAN,Texas State Technical College: Waco,TX1551800,West South Central,South,Region III,University or College,TRUE,2019-12-01T00:00:00.000Z,31.549493,-97.201472
Texas,MCLENNAN,Baylor University: Waco,TX155259E,West South Central,South,Region III,University or College,FALSE,,,
Texas,"FALLS, MCLENNAN",Bruceville-Eddy Police Department,TX1552600,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,31.306688,-97.24659
Texas,MCMULLEN,McMullen County Sheriff's Office,TX1560000,West South Central,South,Region III,County,FALSE,,28.384922,-98.578853
Texas,MADISON,Madison County Sheriff's Office,TX1570000,West South Central,South,Region III,County,TRUE,2019-04-01T00:00:00.000Z,30.961693,-95.892136
Texas,MADISON,Madisonville Police Department,TX1570100,West South Central,South,Region III,City,TRUE,2016-12-01T00:00:00.000Z,30.966878,-95.930372
Texas,MADISON,Independent School District:,TX1570700,West South Central,South,Region III,Other,FALSE,,,
Texas,MARION,Marion County Sheriff's Office,TX1580000,West South Central,South,Region III,County,TRUE,2019-05-01T00:00:00.000Z,32.798182,-94.356853
Texas,MARION,Jefferson Police Department,TX1580100,West South Central,South,Region III,City,FALSE,2020-02-01T00:00:00.000Z,32.756817,-94.34427
Texas,MARTIN,Martin County Sheriff's Office,TX1590000,West South Central,South,Region III,County,TRUE,2019-01-01T00:00:00.000Z,32.30983,-101.961836
Texas,MARTIN,Stanton Police Department,TX1590100,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,32.30983,-101.961836
Texas,MASON,Mason County Sheriff's Office,TX1600000,West South Central,South,Region III,County,TRUE,2019-11-01T00:00:00.000Z,30.703232,-99.237608
Texas,MATAGORDA,Matagorda County Sheriff's Office,TX1610000,West South Central,South,Region III,County,TRUE,2020-10-01T00:00:00.000Z,28.980654,-95.966286
Texas,MATAGORDA,Bay City Police Department,TX1610100,West South Central,South,Region III,City,TRUE,2017-02-01T00:00:00.000Z,28.981882,-95.96749
Texas,MATAGORDA,Palacios Police Department,TX1610200,West South Central,South,Region III,City,TRUE,2018-08-01T00:00:00.000Z,28.783341,-95.997755
Texas,MATAGORDA,Independent School District: Bay City,TX1610900,West South Central,South,Region III,Other,TRUE,2018-01-01T00:00:00.000Z,28.783341,-95.997755
Texas,MATAGORDA,Independent School District:,TX1611100,West South Central,South,Region III,Other,TRUE,2019-09-01T00:00:00.000Z,,
Texas,MAVERICK,Maverick County Sheriff's Office,TX1620000,West South Central,South,Region III,County,FALSE,,28.745217,-100.311368
Texas,MAVERICK,Eagle Pass Police Department,TX1620100,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,28.705912,-100.500465
Texas,MEDINA,Medina County Sheriff's Office,TX1630000,West South Central,South,Region III,County,TRUE,2020-08-01T00:00:00.000Z,29.357111,-99.15548
Texas,MEDINA,Castroville Police Department,TX1630100,West South Central,South,Region III,City,TRUE,2018-06-01T00:00:00.000Z,29.353661,-99.111085
Texas,MEDINA,Devine Police Department,TX1630200,West South Central,South,Region III,City,TRUE,2017-05-01T00:00:00.000Z,29.138155,-98.90712
Texas,MEDINA,Hondo Police Department,TX1630300,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,29.350279,-99.1408
Texas,MEDINA,Lacoste Police Department,TX1630900,West South Central,South,Region III,City,FALSE,,29.353661,-99.111085
Texas,MEDINA,Natalia,TX1631000,West South Central,South,Region III,City,TRUE,2018-07-01T00:00:00.000Z,29.353661,-99.111085
Texas,MENARD,Menard County Sheriff's Office,TX1640000,West South Central,South,Region III,County,FALSE,,30.884058,-99.854623
Texas,MIDLAND,Midland County Sheriff's Office,TX1650000,West South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,31.870896,-102.024326
Texas,MIDLAND,Midland Police Department,TX1650100,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,32.002758,-102.07577
Texas,MIDLAND,Independent School District: Midland,TX1650300,West South Central,South,Region III,Other,TRUE,2020-11-01T00:00:00.000Z,31.989504,-102.084305
Texas,MILAM,Milam County Sheriff's Office,TX1660000,West South Central,South,Region III,County,TRUE,2020-01-01T00:00:00.000Z,30.85512,-96.98046
Texas,MILAM,Cameron Police Department,TX1660100,West South Central,South,Region III,City,TRUE,2018-06-01T00:00:00.000Z,30.791242,-96.984395
Texas,MILAM,Rockdale Police Department,TX1660200,West South Central,South,Region III,City,TRUE,2017-01-01T00:00:00.000Z,30.791242,-96.984395
Texas,"MILAM, WILLIAMSON",Thorndale Police Department,TX1660300,West South Central,South,Region III,City,TRUE,2015-07-01T00:00:00.000Z,30.791242,-96.984395
Texas,MILLS,Mills County Sheriff's Office,TX1670000,West South Central,South,Region III,County,TRUE,2019-01-01T00:00:00.000Z,31.494888,-98.594623
Texas,MITCHELL,Mitchell County Sheriff's Office,TX1680000,West South Central,South,Region III,County,FALSE,,32.390095,-100.86947
Texas,MITCHELL,Colorado City Police Department,TX1680100,West South Central,South,Region III,City,FALSE,,32.303781,-100.92458
Texas,MONTAGUE,Montague County Sheriff's Office,TX1690000,West South Central,South,Region III,County,TRUE,2019-06-01T00:00:00.000Z,33.678356,-97.725014
Texas,MONTAGUE,Bowie Police Department,TX1690100,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,33.678356,-97.725014
Texas,MONTAGUE,Nocona Police Department,TX1690200,West South Central,South,Region III,City,FALSE,,33.788044,-97.725525
Texas,MONTAGUE,St. Jo Police Department,TX1690300,West South Central,South,Region III,City,FALSE,,33.678356,-97.725014
Texas,MONTGOMERY,Montgomery County Sheriff's Office,TX1700000,West South Central,South,Region III,County,TRUE,2020-11-01T00:00:00.000Z,30.335955,-95.453255
Texas,MONTGOMERY,Conroe Police Department,TX1700100,West South Central,South,Region III,City,TRUE,1998-09-01T00:00:00.000Z,30.299402,-95.504008
Texas,MONTGOMERY,Splendora Police Department,TX1700300,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,30.233074,-95.15986
Texas,MONTGOMERY,Montgomery County Constable:,TX1700400,West South Central,South,Region III,Other,TRUE,2021-01-01T00:00:00.000Z,,
Texas,MONTGOMERY,Montgomery County Constable:,TX1700500,West South Central,South,Region III,Other,TRUE,2021-01-01T00:00:00.000Z,,
Texas,MONTGOMERY,Roman Forest Police Department,TX1700700,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,30.178617,-95.163635
Texas,MONTGOMERY,Patton Village Police Department,TX1700800,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,30.299402,-95.504008
Texas,MONTGOMERY,Magnolia Police Department,TX1701000,West South Central,South,Region III,City,TRUE,2019-03-01T00:00:00.000Z,30.215246,-95.74462
Texas,MONTGOMERY,Shenandoah Police Department,TX1701200,West South Central,South,Region III,City,TRUE,2017-04-01T00:00:00.000Z,30.299402,-95.504008
Texas,MONTGOMERY,Willis Police Department,TX1701400,West South Central,South,Region III,City,TRUE,2020-12-01T00:00:00.000Z,30.424551,-95.478714
Texas,MONTGOMERY,Stagecoach Police Department,TX1701500,West South Central,South,Region III,City,FALSE,2015-07-01T00:00:00.000Z,30.152172,-95.716515
Texas,MONTGOMERY,Oak Ridge North Police Department,TX1701600,West South Central,South,Region III,City,TRUE,2017-12-01T00:00:00.000Z,30.157148,-95.43804
Texas,MONTGOMERY,Montgomery Police Department,TX1701700,West South Central,South,Region III,City,TRUE,2019-10-01T00:00:00.000Z,30.299402,-95.504008
Texas,MONTGOMERY,Woodbranch Police Department,TX1701800,West South Central,South,Region III,City,FALSE,,30.183828,-95.18526
Texas,MONTGOMERY,Independent School District: Conroe,TX1702000,West South Central,South,Region III,Other,TRUE,2019-01-01T00:00:00.000Z,30.29126,-95.415245
Texas,MONTGOMERY,Independent School District:,TX1703300,West South Central,South,Region III,Other,TRUE,2020-12-01T00:00:00.000Z,,
Texas,MOORE,Moore County Sheriff's Office,TX1710000,West South Central,South,Region III,County,TRUE,2019-02-01T00:00:00.000Z,35.858677,-101.97188
Texas,MOORE,Dumas Police Department,TX1710100,West South Central,South,Region III,City,TRUE,2018-01-01T00:00:00.000Z,35.85875,-101.972885
Texas,MOORE,Sunray Police Department,TX1710200,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,35.835676,-101.890502
Texas,MOORE,Cactus Police Department,TX1710400,West South Central,South,Region III,City,TRUE,2018-01-01T00:00:00.000Z,35.835676,-101.890502
Texas,MORRIS,Morris County Sheriff's Office,TX1720000,West South Central,South,Region III,County,FALSE,,33.03609,-94.727
Texas,MORRIS,Daingerfield Police Department,TX1720100,West South Central,South,Region III,City,TRUE,2019-02-01T00:00:00.000Z,33.03271,-94.722046
Texas,MORRIS,Lone Star Police Department,TX1720200,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,33.116466,-94.731265
Texas,MORRIS,Omaha Police Department,TX1720300,West South Central,South,Region III,City,FALSE,,33.116466,-94.731265
Texas,MORRIS,Naples Police Department,TX1720500,West South Central,South,Region III,City,TRUE,2019-08-01T00:00:00.000Z,33.116466,-94.731265
Texas,MOTLEY,Motley County Sheriff's Office,TX1730000,West South Central,South,Region III,County,TRUE,2021-01-01T00:00:00.000Z,34.057899,-100.793152
Texas,NACOGDOCHES,Nacogdoches County Sheriff's Office,TX1740000,West South Central,South,Region III,County,TRUE,2015-01-01T00:00:00.000Z,31.610912,-94.68126
Texas,NACOGDOCHES,Garrison,TX1740100,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,,
Texas,NACOGDOCHES,Nacogdoches Police Department,TX1740200,West South Central,South,Region III,City,TRUE,1997-09-01T00:00:00.000Z,31.62056,-94.62025
Texas,NACOGDOCHES,Stephen F. Austin State University,TX1740400,West South Central,South,Region III,University or College,TRUE,2018-10-01T00:00:00.000Z,31.622995,-94.64977
Texas,NACOGDOCHES,Independent School System:,TX1740800,West South Central,South,Region III,Other,TRUE,2021-04-01T00:00:00.000Z,,
Texas,NAVARRO,Navarro County Sheriff's Office,TX1750000,West South Central,South,Region III,County,TRUE,2017-01-01T00:00:00.000Z,32.09607,-96.46836
Texas,NAVARRO,Corsicana Police Department,TX1750100,West South Central,South,Region III,City,TRUE,2019-08-01T00:00:00.000Z,32.093422,-96.466545
Texas,NAVARRO,Dawson,TX1750200,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,,
Texas,NAVARRO,Rice,TX1750300,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,,
Texas,NAVARRO,Kerens Police Department,TX1750400,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,32.04845,-96.476908
Texas,NAVARRO,Independent School District:,TX1751300,West South Central,South,Region III,Other,TRUE,2020-08-01T00:00:00.000Z,,
Texas,NAVARRO,Richland,TX1751700,West South Central,South,Region III,City,TRUE,2021-01-01T00:00:00.000Z,,
Texas,NEWTON,Newton County Sheriff's Office,TX1760000,West South Central,South,Region III,County,TRUE,2019-11-01T00:00:00.000Z,30.786718,-93.73925
Texas,NEWTON,Newton,TX1760100,West South Central,South,Region III,City,TRUE,2019-01-01T00:00:00.000Z,30.786718,-93.73925
